X,Y,Combined Metric,Mean Elevation,Mean Slope,Mean Curvature,Mean TRI
7,5,2126.1487,1119.8031,129.18071,45.947525,831.21747
7,5,2126.1487,1119.8031,129.18071,45.947525,831.21747
1,0,1937.4524,1101.3885,66.24873,23.831148,745.9838
1,0,1937.4524,1101.3885,66.24873,23.831148,745.9838
6,5,1920.4626,990.46497,114.02811,56.701946,759.2677
6,5,1920.4626,990.46497,114.02811,56.701946,759.2677
2,0,1870.2302,1345.9437,55.08639,18.452791,450.7473
2,0,1870.2302,1345.9437,55.08639,18.452791,450.7473
3,0,1349.4484,1095.0038,27.103054,10.001347,217.34024
3,0,1349.4484,1095.0038,27.103054,10.001347,217.34024
8,5,1343.0936,664.17065,78.81601,34.52501,565.5819
8,5,1343.0936,664.17065,78.81601,34.52501,565.5819
10,3,1264.2241,627.46814,99.63757,36.668644,500.4497
10,3,1264.2241,627.46814,99.63757,36.668644,500.4497
6,4,1238.8265,495.7258,54.286983,19.494036,669.31976
6,4,1238.8265,495.7258,54.286983,19.494036,669.31976
4,4,1235.6147,550.45496,54.406147,26.526037,604.22766
4,4,1235.6147,550.45496,54.406147,26.526037,604.22766
3,3,1205.7197,911.27625,35.05603,12.592751,246.79462
3,3,1205.7197,911.27625,35.05603,12.592751,246.79462
10,4,1197.8549,671.00854,80.482285,41.06413,405.2999
10,4,1197.8549,671.00854,80.482285,41.06413,405.2999
4,0,1187.9789,924.8335,15.654289,4.425592,243.06544
4,0,1187.9789,924.8335,15.654289,4.425592,243.06544
3,2,1167.3687,633.62665,53.94668,18.991245,460.8041
3,2,1167.3687,633.62665,53.94668,18.991245,460.8041
7,11,1157.4749,770.59656,59.207756,27.322739,300.34775
7,11,1157.4749,770.59656,59.207756,27.322739,300.34775
9,4,1141.6161,566.523,73.221,29.996975,471.87512
9,4,1141.6161,566.523,73.221,29.996975,471.87512
6,1,1140.2716,641.0194,49.61703,21.306873,428.32828
6,1,1140.2716,641.0194,49.61703,21.306873,428.32828
2,4,1100.655,663.53,55.176678,23.869705,358.0786
2,4,1100.655,663.53,55.176678,23.869705,358.0786
5,1,1066.104,613.8516,47.052788,19.842257,385.35733
5,1,1066.104,613.8516,47.052788,19.842257,385.35733
3,4,1063.4613,545.1742,36.62581,17.817753,463.8436
3,4,1063.4613,545.1742,36.62581,17.817753,463.8436
11,4,1059.2391,511.1108,58.256535,34.408447,455.4633
11,4,1059.2391,511.1108,58.256535,34.408447,455.4633
4,1,1018.49304,552.356,31.264256,11.646475,423.22623
4,1,1018.49304,552.356,31.264256,11.646475,423.22623
6,11,997.9186,407.34802,59.32011,32.381912,498.86856
6,11,997.9186,407.34802,59.32011,32.381912,498.86856
2,3,941.271,583.2095,39.515106,17.69175,300.85464
2,3,941.271,583.2095,39.515106,17.69175,300.85464
11,5,916.16956,465.21832,40.37064,11.778491,398.80215
11,5,916.16956,465.21832,40.37064,11.778491,398.80215
11,6,885.76135,476.8185,35.779697,20.183895,352.97928
11,6,885.76135,476.8185,35.779697,20.183895,352.97928
2,1,873.2983,374.19147,46.72523,28.433624,423.94797
2,1,873.2983,374.19147,46.72523,28.433624,423.94797
8,6,860.90393,547.15295,39.129585,35.312233,239.30917
8,6,860.90393,547.15295,39.129585,35.312233,239.30917
3,1,846.88965,356.26587,24.311071,11.58917,454.72357
3,1,846.88965,356.26587,24.311071,11.58917,454.72357
5,4,817.63074,349.7884,39.078957,15.565541,413.1978
5,4,817.63074,349.7884,39.078957,15.565541,413.1978
4,3,806.4425,357.7287,34.27094,10.637682,403.8052
4,3,806.4425,357.7287,34.27094,10.637682,403.8052
6,10,800.2307,322.84772,32.620075,10.1542,434.60867
6,10,800.2307,322.84772,32.620075,10.1542,434.60867
5,5,782.2687,461.5848,33.131638,15.495406,272.05682
5,5,782.2687,461.5848,33.131638,15.495406,272.05682
8,3,724.4366,267.3004,51.443092,17.127983,388.5651
8,3,724.4366,267.3004,51.443092,17.127983,388.5651
5,0,713.5672,436.79117,10.934358,2.7458985,263.09576
5,0,713.5672,436.79117,10.934358,2.7458985,263.09576
9,6,703.9598,376.42657,39.861076,15.209822,272.4623
9,6,703.9598,376.42657,39.861076,15.209822,272.4623
10,5,703.92096,315.36392,36.482788,13.456276,338.61798
10,5,703.92096,315.36392,36.482788,13.456276,338.61798
0,0,693.60205,218.37828,23.916155,8.10046,443.20712
0,0,693.60205,218.37828,23.916155,8.10046,443.20712
7,6,683.87634,479.2246,21.952118,21.514862,161.18474
7,6,683.87634,479.2246,21.952118,21.514862,161.18474
10,6,672.6172,357.807,34.263145,13.891016,266.65598
10,6,672.6172,357.807,34.263145,13.891016,266.65598
11,2,656.7821,224.76443,55.94207,23.422173,352.65338
11,2,656.7821,224.76443,55.94207,23.422173,352.65338
2,2,655.60486,331.09125,33.663696,12.916127,277.9338
2,2,655.60486,331.09125,33.663696,12.916127,277.9338
7,4,599.37756,236.68346,41.80465,19.254509,301.63492
7,4,599.37756,236.68346,41.80465,19.254509,301.63492
8,4,552.84375,173.79324,28.423443,22.758278,327.8688
8,4,552.84375,173.79324,28.423443,22.758278,327.8688
6,6,550.43195,341.95078,25.588856,9.281567,173.61073
6,6,550.43195,341.95078,25.588856,9.281567,173.61073
11,3,548.9503,174.41956,45.241264,23.211695,306.07776
11,3,548.9503,174.41956,45.241264,23.211695,306.07776
7,10,444.8399,180.90741,24.620638,8.2149105,231.09695
7,10,444.8399,180.90741,24.620638,8.2149105,231.09695
7,7,443.1328,243.0146,20.965473,10.378528,168.77422
7,7,443.1328,243.0146,20.965473,10.378528,168.77422
8,11,440.12762,225.00085,17.764343,7.312074,190.05037
8,11,440.12762,225.00085,17.764343,7.312074,190.05037
8,7,429.93414,214.93918,18.83168,8.85919,187.3041
8,7,429.93414,214.93918,18.83168,8.85919,187.3041
8,2,411.38385,115.94672,21.619608,12.027005,261.79053
8,2,411.38385,115.94672,21.619608,12.027005,261.79053
7,3,388.5086,101.25801,19.982353,8.241999,259.02625
7,3,388.5086,101.25801,19.982353,8.241999,259.02625
9,3,386.00616,114.52617,18.030207,9.236089,244.21368
9,3,386.00616,114.52617,18.030207,9.236089,244.21368
4,9,369.69116,152.3265,25.355604,11.748074,180.26099
4,9,369.69116,152.3265,25.355604,11.748074,180.26099
10,2,367.6844,90.78328,21.1372,6.4173927,249.3465
10,2,367.6844,90.78328,21.1372,6.4173927,249.3465
9,2,365.04547,86.30954,20.592857,4.6764765,253.4666
9,2,365.04547,86.30954,20.592857,4.6764765,253.4666
9,7,355.1249,213.15936,11.166771,9.556052,121.242714
9,7,355.1249,213.15936,11.166771,9.556052,121.242714
7,1,352.87442,130.16498,16.853392,6.6748524,199.1812
7,1,352.87442,130.16498,16.853392,6.6748524,199.1812
6,7,327.81757,144.2912,13.233556,9.165879,161.12694
6,7,327.81757,144.2912,13.233556,9.165879,161.12694
11,7,308.5912,237.44217,5.7207465,3.3063307,62.121937
11,7,308.5912,237.44217,5.7207465,3.3063307,62.121937
11,0,304.91904,125.11812,7.9827614,2.212553,169.6056
11,0,304.91904,125.11812,7.9827614,2.212553,169.6056
